fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,sulphates,alcohol,quality
7.4,0.7,0,0.076,34,0.56,9.4,5
7.8,0.88,0,0.098,67,0.68,9.8,5
7.8,0.76,0.04,0.092,54,0.65,9.8,5
11.2,0.28,0.56,0.075,60,0.58,9.8,6
7.4,0.7,0,0.076,34,0.56,9.4,5
7.4,0.66,0,0.075,40,0.56,9.4,5
7.9,0.6,0.06,0.069,59,0.46,9.4,5
7.3,0.65,0,0.065,21,0.47,10,7
7.8,0.58,0.02,0.073,18,0.57,9.5,7
6.7,0.58,0.08,0.097,65,0.54,9.2,5
5.6,0.615,0,0.089,59,0.52,9.9,5
7.8,0.61,0.29,0.114,29,1.56,9.1,5
8.5,0.28,0.56,0.092,103,0.75,10.5,7
7.9,0.32,0.51,0.341,56,1.08,9.2,6
7.6,0.39,0.31,0.082,71,0.65,9.7,5
7.9,0.43,0.21,0.106,37,0.91,9.5,5
8.5,0.49,0.11,0.084,67,0.53,9.4,5
6.9,0.4,0.14,0.085,40,0.63,9.7,6
6.3,0.39,0.16,0.08,23,0.56,9.3,5
7.6,0.41,0.24,0.08,11,0.59,9.5,5
7.1,0.71,0,0.08,35,0.55,9.4,5
7.8,0.645,0,0.082,16,0.59,9.8,6
6.7,0.675,0.07,0.089,82,0.54,10.1,5
8.3,0.655,0.12,0.083,113,0.66,9.8,5
5.2,0.32,0.25,0.103,50,0.55,9.2,5
7.8,0.645,0,0.086,18,0.55,9.6,6
7.8,0.6,0.14,0.086,15,0.6,10.8,6
8.1,0.38,0.28,0.066,30,0.73,9.7,7
7.3,0.45,0.36,0.074,87,0.83,10.5,5
8.8,0.61,0.3,0.088,46,0.51,9.3,4
7.5,0.49,0.2,0.332,14,0.9,10.5,6
8.1,0.66,0.22,0.069,23,1.2,10.3,5
4.6,0.52,0.15,0.054,65,0.56,13.1,4
7.7,0.935,0.43,0.114,114,0.73,9.2,5
8.8,0.66,0.26,0.074,23,0.74,9.2,5
6.6,0.52,0.04,0.069,15,0.63,9.4,6
6.6,0.5,0.04,0.068,14,0.64,9.4,6
8.6,0.38,0.36,0.081,119,0.56,9.4,5
7.6,0.51,0.15,0.11,73,0.63,10.2,6
10.2,0.42,0.57,0.07,10,0.63,9.6,5
7.8,0.59,0.18,0.076,54,0.59,10,5
7.3,0.39,0.31,0.074,46,0.54,9.4,6
8.8,0.4,0.4,0.079,52,0.64,9.2,5
7.7,0.69,0.49,0.115,112,0.71,9.3,5
7,0.735,0.05,0.081,54,0.57,9.8,5
7.2,0.725,0.05,0.086,11,0.39,10.9,5
7.2,0.725,0.05,0.086,11,0.39,10.9,5
6.6,0.705,0.07,0.076,15,0.58,10.7,5
8,0.705,0.05,0.074,19,0.95,10.5,6
7.7,0.69,0.22,0.084,94,0.48,9.5,5
8.3,0.675,0.26,0.084,43,0.53,9.2,4
8.8,0.41,0.64,0.093,42,0.66,10.5,5
6.8,0.785,0,0.104,30,0.55,10.7,6
6.7,0.75,0.12,0.086,80,0.52,10.1,5
8.3,0.625,0.2,0.08,119,1.12,9.1,4
6.2,0.45,0.2,0.069,15,0.56,9.2,5
7.4,0.5,0.47,0.086,73,0.57,9.1,5
6.3,0.3,0.48,0.069,61,0.78,10.3,6
6.9,0.55,0.15,0.076,40,0.59,10.1,5
8.6,0.49,0.28,0.11,136,1.95,9.9,6
7.7,0.49,0.26,0.062,31,0.64,9.6,5
9.3,0.39,0.44,0.107,125,1.22,9.5,5
7,0.62,0.08,0.076,24,0.53,9,5
7.9,0.52,0.26,0.079,140,0.54,9.5,5
8.6,0.49,0.28,0.11,136,1.95,9.9,6
7.7,0.49,0.26,0.062,31,0.64,9.6,5
5,1.02,0.04,0.045,85,0.48,10.5,4
6.8,0.775,0,0.102,23,0.56,10.7,5
7.6,0.9,0.06,0.079,10,0.56,9.8,5
8.1,0.545,0.18,0.08,35,0.59,9,6
8.3,0.61,0.3,0.084,50,0.61,10.2,6
8.1,0.545,0.18,0.08,35,0.59,9,6
8.1,0.575,0.22,0.077,65,0.51,9.2,5
7.2,0.49,0.24,0.07,36,0.48,9.4,5
8.1,0.575,0.22,0.077,65,0.51,9.2,5
7.8,0.41,0.68,0.467,69,1.31,9.3,5
6.2,0.63,0.31,0.088,64,0.79,9.3,5
7.8,0.56,0.19,0.104,47,0.93,9.5,5
8.4,0.62,0.09,0.084,108,0.66,9.8,5
10.1,0.31,0.44,0.08,46,0.67,9.7,6
7.8,0.56,0.19,0.104,47,0.93,9.5,5
9.4,0.4,0.31,0.09,62,0.63,10.5,6
8.3,0.54,0.28,0.077,40,0.61,10,6
7.3,1.07,0.09,0.178,89,0.57,9,5
8.8,0.55,0.04,0.119,56,0.6,10.9,6
7.3,0.695,0,0.075,13,0.52,9.2,5
7.8,0.5,0.17,0.082,102,0.48,9.5,5
8.2,1.33,0,0.081,12,0.49,10.9,5
8.1,1.33,0,0.082,12,0.48,10.9,5
8,0.59,0.16,0.065,16,0.92,10.5,7
